match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53349,19/10/2025,3,Autosped G Castelnuovo Scrivia,La Molisana Magnolia Campobasso,False,57,61,L,4,62.0,18.0,18.0,14.0,23.0,16.0,56.0,22.0,19.0,13.0,30.0,19.0,70.9,70.2,70.6
53350,19/10/2025,3,O.ME.P.S. Battipaglia,Alama San Martino di Lupari,True,65,71,L,4,55.0,23.0,24.0,16.0,28.0,21.0,77.0,27.0,12.0,23.0,22.0,15.0,72.1,73.2,72.7
53350,19/10/2025,3,Alama San Martino di Lupari,O.ME.P.S. Battipaglia,False,71,65,W,4,77.0,27.0,12.0,23.0,22.0,15.0,55.0,23.0,24.0,16.0,28.0,21.0,73.2,72.1,72.7
53351,26/10/2025,4,Autosped G Castelnuovo Scrivia,Umana Reyer Venezia,True,57,72,L,4,68.0,22.0,14.0,12.0,27.0,15.0,70.0,25.0,19.0,17.0,34.0,17.0,76.3,76.8,76.5
53351,26/10/2025,4,Umana Reyer Venezia,Autosped G Castelnuovo Scrivia,False,72,57,W,4,70.0,25.0,19.0,17.0,34.0,17.0,68.0,22.0,14.0,12.0,27.0,15.0,76.8,76.3,76.5
53352,25/10/2025,4,Famila Wuber Schio,RMB Brixia Basket San Paolo,True,89,39,W,4,66.0,30.0,26.0,15.0,42.0,14.0,61.0,13.0,13.0,7.0,26.0,20.0,77.3,79.4,78.3
53352,25/10/2025,4,RMB Brixia Basket San Paolo,Famila Wuber Schio,False,39,89,L,4,61.0,13.0,13.0,7.0,26.0,20.0,66.0,30.0,26.0,15.0,42.0,14.0,79.4,77.3,78.3
53353,26/10/2025,4,Dinamo Banco di Sardegna Sassari,Logiman Broni,True,71,76,L,5,76.0,27.0,10.0,15.0,27.0,19.0,63.0,27.0,24.0,9.0,31.0,17.0,73.2,71.9,72.6
53353,26/10/2025,4,Logiman Broni,Dinamo Banco di Sardegna Sassari,False,76,71,W,5,63.0,27.0,24.0,9.0,31.0,17.0,76.0,27.0,10.0,15.0,27.0,19.0,71.9,73.2,72.6
53354,26/10/2025,4,Geas Sesto San Giovanni,O.ME.P.S. Battipaglia,True,66,45,W,4,65.0,26.0,13.0,11.0,38.0,12.0,69.0,18.0,9.0,14.0,31.0,11.0,71.8,69.3,70.5
53354,26/10/2025,4,O.ME.P.S. Battipaglia,Geas Sesto San Giovanni,False,45,66,L,4,69.0,18.0,9.0,14.0,31.0,11.0,65.0,26.0,13.0,11.0,38.0,12.0,69.3,71.8,70.5
53355,26/10/2025,4,Alama San Martino di Lupari,La Molisana Magnolia Campobasso,True,49,68,L,4,52.0,19.0,10.0,9.0,23.0,22.0,58.0,27.0,10.0,9.0,26.0,17.0,69.3,70.1,69.7
53355,26/10/2025,4,La Molisana Magnolia Campobasso,Alama San Martino di Lupari,False,68,49,W,4,58.0,27.0,10.0,9.0,26.0,17.0,52.0,19.0,10.0,9.0,23.0,22.0,70.1,69.3,69.7
53356,01/11/2025,5,La Molisana Magnolia Campobasso,Famila Wuber Schio,True,70,76,L,4,57.0,24.0,23.0,10.0,19.0,13.0,53.0,27.0,18.0,8.0,26.0,19.0,70.3,71.7,71.0
53356,01/11/2025,5,Famila Wuber Schio,La Molisana Magnolia Campobasso,False,76,70,W,4,53.0,27.0,18.0,8.0,26.0,19.0,57.0,24.0,23.0,10.0,19.0,13.0,71.7,70.3,71.0
53357,02/11/2025,5,Logiman Broni,People Strategy Roseto,True,82,71,W,4,60.0,30.0,18.0,14.0,29.0,16.0,67.0,30.0,8.0,9.0,20.0,9.0,70.7,70.1,70.4
53357,02/11/2025,5,People Strategy Roseto,Logiman Broni,False,71,82,L,4,67.0,30.0,8.0,9.0,20.0,9.0,60.0,30.0,18.0,14.0,29.0,16.0,70.1,70.7,70.4
53358,01/11/2025,5,Umana Reyer Venezia,Dinamo Banco di Sardegna Sassari,True,86,44,W,4,61.0,33.0,22.0,12.0,33.0,20.0,59.0,17.0,8.0,8.0,19.0,25.0,79.1,78.8,78.9
53358,01/11/2025,5,Dinamo Banco di Sardegna Sassari,Umana Reyer Venezia,False,44,86,L,4,59.0,17.0,8.0,8.0,19.0,25.0,61.0,33.0,22.0,12.0,33.0,20.0,78.8,79.1,78.9
53359,02/11/2025,5,O.ME.P.S. Battipaglia,Autosped G Castelnuovo Scrivia,True,83,85,L,4,67.0,30.0,18.0,12.0,32.0,18.0,64.0,30.0,17.0,6.0,26.0,16.0,80.4,81.7,81.1
53359,02/11/2025,5,Autosped G Castelnuovo Scrivia,O.ME.P.S. Battipaglia,False,85,83,W,4,64.0,30.0,17.0,6.0,26.0,16.0,67.0,30.0,18.0,12.0,32.0,18.0,81.7,80.4,81.1
53360,02/11/2025,5,RMB Brixia Basket San Paolo,Geas Sesto San Giovanni,True,60,79,L,4,59.0,22.0,13.0,8.0,23.0,13.0,70.0,30.0,11.0,18.0,30.0,12.0,69.4,68.0,68.7
53360,02/11/2025,5,Geas Sesto San Giovanni,RMB Brixia Basket San Paolo,False,79,60,W,4,70.0,30.0,11.0,18.0,30.0,12.0,59.0,22.0,13.0,8.0,23.0,13.0,68.0,69.4,68.7
53361,08/11/2025,6,Geas Sesto San Giovanni,Logiman Broni,True,76,58,W,4,60.0,28.0,16.0,10.0,20.0,8.0,52.0,22.0,9.0,8.0,24.0,16.0,65.0,62.8,63.9
